task,benchmark,category,n_train,n_test,pos_frac_train,pos_frac_test,length_only_auroc,gc_only_auroc,mono_di_auroc,kmer3_auroc,kmer4_auroc,kmer5_auroc,kmer6_auroc,kmer3_6_auroc,raw_plus_kmer_auroc,nearest_neighbor_auroc,length_only_mcc,gc_only_mcc,mono_di_mcc,kmer3_mcc,kmer4_mcc,kmer5_mcc,kmer6_mcc,kmer3_6_mcc,raw_plus_kmer_mcc,nearest_neighbor_mcc,best_shortcut_feat,best_shortcut_auroc,best_shortcut_mcc
bvbrc_cov,hvue,forget_candidate,10000,5000,0.472,0.455,0.5000,0.5738,0.6844,0.7025,0.7153,0.7376,0.8203,nan,0.7541,0.8861,0.0000,0.0000,0.2620,0.2931,0.3109,0.3211,0.0000,nan,0.3863,0.6081,nearest_neighbor,0.8861,0.6081
cini,hvue,forget_candidate,2539,1089,0.424,0.405,0.5033,0.5849,0.7785,0.7659,0.7497,0.7387,0.7302,nan,0.7951,0.8605,-0.0250,0.0000,0.4921,0.4737,0.4419,0.3785,0.0000,nan,0.5100,0.5689,nearest_neighbor,0.8605,0.5689
host_tropism,hvue,forget_candidate,47194,22108,0.500,0.500,0.5014,0.5758,0.7938,0.8708,0.8833,0.8483,0.8245,nan,0.8665,0.9015,0.0177,0.1591,0.4436,0.5835,0.6103,0.5531,0.5447,nan,0.5742,0.6885,nearest_neighbor,0.9015,0.6885
hvue_pathogenicity,hvue,forget_candidate,10000,5000,0.557,0.546,0.5000,0.5879,0.7575,0.7830,0.7882,0.7337,0.7151,nan,0.8127,0.9139,0.0000,0.0000,0.3407,0.3892,0.3823,0.2251,0.0000,nan,0.4384,0.6513,nearest_neighbor,0.9139,0.6513
hvue_transmissibility,hvue,forget_candidate,10000,5000,0.621,0.629,0.5000,0.5817,0.7893,0.8221,0.8455,0.8345,0.8249,nan,0.8758,0.9189,0.0000,0.0000,0.4166,0.4289,0.4332,0.4029,0.3318,nan,0.5107,0.6798,nearest_neighbor,0.9189,0.6798
hvue_host_tropism,hvue,forget_candidate,10000,5000,0.501,0.487,0.5000,0.6806,0.8234,0.8744,0.8824,0.8946,0.9046,nan,0.8732,0.8964,0.0000,0.0758,0.5060,0.5961,0.6198,0.0000,0.0000,nan,0.5984,0.6587,kmer6,0.9046,0.0000
