task,benchmark,category,n_train_used,n_test_used,best_shortcut_feat,best_shortcut_auroc,best_shortcut_mcc,shortcut_source,length_auroc,gc_auroc,mono_di_auroc,kmer3_auroc,kmer4_auroc,kmer5_auroc,kmer6_auroc,kmer3_6_auroc,raw_plus_kmer_auroc,nn_auroc,notes
bvbrc_cov,hvue,forget_candidate,9719,5000,raw_plus_kmer,0.9476,0.7881,full_train_authoritative,0.5000,0.5738,0.6844,0.7025,0.7153,0.7376,0.8203,0.9472,0.9476,0.8861,AUTHORITATIVE_from_shortcut_vs_probe;NN_and_5000cap_kmer3_6_underestimate
cini,hvue,forget_candidate,2539,1089,raw_plus_kmer,0.8504,0.5541,full_train_authoritative,0.5033,0.5849,0.7785,0.7659,0.7497,0.7387,0.7302,0.8498,0.8504,0.8605,AUTHORITATIVE_from_shortcut_vs_probe
host_tropism,hvue,forget_candidate,10000,6000,raw_plus_kmer,0.9049,0.6603,full_train_authoritative,0.5014,0.5758,0.7835,0.8708,0.8833,0.8483,0.8245,0.9049,0.9049,0.9015,AUTHORITATIVE_from_shortcut_vs_probe
hvue_pathogenicity,hvue,forget_candidate,20000,10000,kmer3_6,0.8738,0.5770,full20k_C10_lowerbound,0.5000,0.5879,0.7575,0.7830,0.7882,0.7337,0.7151,0.8738,0.8684,0.9139,kmer_UNDERFIT_at_C10_true_ceiling_higher;NN_0.9139_is_2000sample_proxy
hvue_transmissibility,hvue,forget_candidate,20000,10000,kmer3_6,0.9157,0.6375,full20k_C10_lowerbound,0.5000,0.5817,0.7893,0.8221,0.8455,0.8345,0.8249,0.9157,0.9153,0.9189,kmer_UNDERFIT_at_C10_true_ceiling_higher
hvue_host_tropism,hvue,forget_candidate,20000,10000,kmer3_6,0.8894,0.6330,full20k_C10_lowerbound,0.5000,0.6806,0.8234,0.8744,0.8824,0.8946,0.9046,0.8894,0.8877,0.8964,kmer_UNDERFIT_at_C10;kmer6_0.9046_from_5000cap
