excluded_host_genus,remaining_rows,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast
acinetobacter,158,0.48583651461807315,0.5554623983739838,-0.06962588375591067
enterobacter,316,0.5181749359452088,0.5554248306338108,-0.03724989468860196
enterococcus,303,0.3799829805489523,0.3988210570489052,-0.018838076499952894
escherichia,305,0.5150968576855265,0.4997175105315655,0.015379347153960998
klebsiella,311,0.5222966558135779,0.5089220671499152,0.013374588663662701
pseudomonas,200,0.4399922092715436,0.5261104592298169,-0.08611824995827333
staphylococcus,309,0.42941480431686,0.46999700753520046,-0.04058220321834044
