model,host_genus,precision,recall,f1,support,tp,fp,fn
SaProt,acinetobacter,0.8557692307692307,0.559748427672956,0.6768060836501901,159,89,15,70
SaProt,enterobacter,0.038461538461538464,1.0,0.07407407407407407,1,1,25,0
SaProt,enterococcus,0.8235294117647058,1.0,0.9032258064516129,14,14,3,0
SaProt,escherichia,0.075,0.25,0.11538461538461539,12,3,37,9
SaProt,klebsiella,0.05128205128205128,0.3333333333333333,0.08888888888888889,6,2,37,4
SaProt,pseudomonas,0.8372093023255814,0.6153846153846154,0.7093596059113301,117,72,14,45
SaProt,staphylococcus,0.8,0.5,0.6153846153846154,8,4,1,4
