host_genus,support,saprot_f1,blast_f1,delta_saprot_minus_blast,saprot_recall,blast_recall
acinetobacter,159,0.6768060836501901,0.6244725738396625,0.052333509810527645,0.559748427672956,0.46540880503144655
enterobacter,1,0.07407407407407407,0.0,0.07407407407407407,1.0,0.0
enterococcus,14,0.9032258064516129,0.9333333333333333,-0.03010752688172047,1.0,1.0
escherichia,12,0.11538461538461539,0.3333333333333333,-0.21794871794871792,0.25,0.75
klebsiella,6,0.08888888888888889,0.2727272727272727,-0.1838383838383838,0.3333333333333333,1.0
pseudomonas,117,0.7093596059113301,0.6239316239316239,0.08542798197970614,0.6153846153846154,0.6239316239316239
staphylococcus,8,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.5,0.875
