run,checkpoint_dir,method,condition,layers,lr,steps,alpha_forget,alpha_retain,steer_coef,target_direction,target_layer,internal_auroc_3_9,internal_auroc_drop,host_tropism_internal_auroc,host_tropism_internal_drop,coronaviridae_internal_auroc,coronaviridae_internal_drop,internal_gate_pass,internal_min_drop,internal_mean_drop,forget_ppl,retain_ppl,retain_representation_mse,retain_original_modified_cosine,forget_representation_mse,forget_original_modified_cosine,hvue_forget_mean,hvue_forget_drop,gue_retain_mean,gue_retain_delta,viral_retain_mean,viral_retain_delta,taxonomy_mean,taxonomy_drop,forget_signal,retain_penalty,selection_score
gd_full_ar5,data/phase2/checkpoints_tuned/gd_full_ar5,gradient_difference,full,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,1e-05,200,1.0,5.0,,,,0.531249375,0.31275062499999995,,,,,,,,4.3376656208689015,4.280425935072488,,,,,,,,,,,,,0.31275062499999995,0.0008042593507248786,-1000000000.0
refseq_gd_full_ar5_s200,data/phase2/checkpoints_tuned/refseq_gd_full_ar5_s200,gradient_difference,full,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,1e-05,200,1.0,5.0,,,,0.5474888392857143,0.2965111607142856,,,,,,,,4.209152296857278,4.128748883666878,,,,,,,,,,,,,0.2965111607142856,0.0,-1000000000.0
refseq_gd_projinit_full_ar5_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_full_ar5_s200,gradient_difference,full,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31,1e-05,200,1.0,5.0,,,,,0.3699833992346938,0.5063475,0.33664250000000007,0.590788424744898,0.40332429846938755,True,0.33664250000000007,0.3699833992346938,7.60491322304672,7.323663480314954,0.6105221465229989,0.21898730397224425,0.6249342933297157,0.2277982324361801,,,,,,,,,0.33664250000000007,0.031236634803149536,-1000000000.0
gd_localized_ar5_s1000,data/phase2/checkpoints_tuned/gd_localized_ar5_s1000,gradient_difference,localized,3|4|5|6|7|8|9,1e-05,1000,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1000000000.0
refseq_gd_loc_af1_ar10_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_af1_ar10_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,10.0,,,,0.9881935586734694,-0.1441935586734694,,,,,,,,3.7486159614430594,3.855172633130037,,,,,,,,,,,,,-0.1441935586734694,0.0,-1000000000.0
refseq_gd_loc_af1_ar1_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_af1_ar1_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,1.0,,,,0.9382533482142857,-0.09425334821428577,,,,,,,,2.1733246017612794e+28,20459612.8991272,,,,,,,,,,,,,-0.09425334821428577,204596.08699127202,-1000000000.0
refseq_gd_loc_af1_ar3_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_af1_ar3_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,3.0,,,,0.8966278698979593,-0.05262786989795931,,,,,,,,4.826466215393436,4.115005589595959,,,,,,,,,,,,,-0.05262786989795931,0.0,-1000000000.0
refseq_gd_loc_af1_ar5_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_af1_ar5_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,5.0,,,,0.9513671875,-0.10736718750000007,,,,,,,,4.4950313352450255,3.9677796217107186,,,,,,,,,,,,,-0.10736718750000007,0.0,-1000000000.0
refseq_gd_loc_ar5_lr2e-5_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_ar5_lr2e-5_s200,gradient_difference,localized,5|6|7|8|9,2e-05,200,1.0,5.0,,,,0.9129185267857143,-0.0689185267857143,,,,,,,,14.886834374355779,5.463261700422239,,,,,,,,,,,,,-0.0689185267857143,0.012632617004222385,-1000000000.0
refseq_gd_loc_ar5_lr5e-6_s200,data/phase2/checkpoints_tuned/refseq_gd_loc_ar5_lr5e-6_s200,gradient_difference,localized,5|6|7|8|9,5e-06,200,1.0,5.0,,,,0.9877431441326531,-0.1437431441326531,,,,,,,,3.800192809476103,3.882057239174446,,,,,,,,,,,,,-0.1437431441326531,0.0,-1000000000.0
refseq_gd_loc_ar5_s1000,data/phase2/checkpoints_tuned/refseq_gd_loc_ar5_s1000,gradient_difference,localized,5|6|7|8|9,1e-05,1000,1.0,5.0,,,,0.8093191964285713,0.034680803571428664,,,,,,,,5.0124112442406936e+16,1232.169113189722,,,,,,,,,,,,,0.034680803571428664,12.279691131897222,-1000000000.0
refseq_gd_loc_ar5_s500,data/phase2/checkpoints_tuned/refseq_gd_loc_ar5_s500,gradient_difference,localized,5|6|7|8|9,1e-05,500,1.0,5.0,,,,0.8588448660714286,-0.014844866071428653,,,,,,,,5136139.5939604,30.53932875324956,,,,,,,,,,,,,-0.014844866071428653,0.26339328753249563,-1000000000.0
refseq_gd_projinit_loc_af1_ar10_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_loc_af1_ar10_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,10.0,,,,,0.13706618941326526,0.666796875,0.17619312500000006,0.8961734693877551,0.09793925382653046,True,0.09793925382653046,0.13706618941326526,5.660014621552414,4.966568456492053,0.21700585559010505,0.8024183988571167,0.3423049494624138,0.6994194865226746,,,,,,,,,0.09793925382653046,0.007665684564920525,-1000000000.0
refseq_gd_projinit_loc_af1_ar1_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_loc_af1_ar1_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,1.0,,,,,0.1529362436224489,0.6495856249999999,0.19340437500000007,0.8816446109693878,0.11246811224489772,True,0.11246811224489772,0.1529362436224489,6.5721688849351025,5.7681322580478165,0.4741580918431282,0.6446740627288818,0.6942916542291642,0.5027820229530334,,,,,,,,,0.11246811224489772,0.015681322580478163,-1000000000.0
refseq_gd_projinit_loc_af1_ar3_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_loc_af1_ar3_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,3.0,,,,,0.16166959183673468,0.639485,0.20350500000000005,0.8742785395408162,0.11983418367346932,True,0.11983418367346932,0.16166959183673468,6.18806677609928,5.311959095151496,0.3430991306900978,0.7198026061058045,0.4784435346722603,0.6038835167884826,,,,,,,,,0.11983418367346932,0.011119590951514961,-1000000000.0
refseq_gd_projinit_loc_af1_ar5_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_loc_af1_ar5_s200,gradient_difference,localized,5|6|7|8|9,1e-05,200,1.0,5.0,,,,,0.14756858418367336,0.641164375,0.201825625,0.9008011798469389,0.0933115433673467,True,0.0933115433673467,0.14756858418367336,6.014540465495705,5.165841613707927,0.30045104771852493,0.7480893850326538,0.4295769423246384,0.637437641620636,,,,,,,,,0.0933115433673467,0.009658416137079264,-1000000000.0
refseq_gd_projinit_loc_ar5_lr2e-5_s200,data/phase2/checkpoints_tuned/refseq_gd_projinit_loc_ar5_lr2e-5_s200,gradient_difference,localized,5|6|7|8|9,2e-05,200,1.0,5.0,,,,,0.14922899872448975,0.641869375,0.20112062500000005,0.8967753507653061,0.09733737244897944,True,0.09733737244897944,0.14922899872448975,7.682129338169606,5.776897049767815,0.207912003621459,0.8166454911231995,0.3172901839017868,0.725450599193573,,,,,,,,,0.09733737244897944,0.015768970497678145,-1000000000.0
